"geometry","physVelocity:0","physVelocity:1","physPressure","knudsen","Points:0","Points:1","Points:2"
1.00000000e+00,8.65455866e-01,-2.51998939e-02,-2.44482490e-03,7.09291664e-04,2.18636818e+01,2.81817889e+00,0.00000000e+00
1.00000000e+00,8.63355875e-01,-2.28608064e-02,-2.07431125e-03,3.29629314e-04,2.19091358e+01,2.81817889e+00,0.00000000e+00
1.00000000e+00,8.61405253e-01,-2.77576428e-02,-2.77119642e-03,1.23716623e-03,2.19545898e+01,2.81817889e+00,0.00000000e+00
4.00000000e+00,8.58742714e-01,0.00000000e+00,0.00000000e+00,9.89280269e-02,2.20000458e+01,2.81817889e+00,0.00000000e+00
1.00000000e+00,8.62371087e-01,-2.27781329e-02,-3.37453163e-03,6.12288190e-04,2.15454998e+01,2.86363339e+00,0.00000000e+00
1.00000000e+00,8.60997021e-01,-2.33387817e-02,-3.17311892e-03,6.47668436e-04,2.15909538e+01,2.86363339e+00,0.00000000e+00
1.00000000e+00,8.59458089e-01,-2.35178899e-02,-3.07066180e-03,5.98766084e-04,2.16364098e+01,2.86363339e+00,0.00000000e+00
1.00000000e+00,8.57761979e-01,-2.36850698e-02,-2.86928145e-03,6.68280118e-04,2.16818638e+01,2.86363339e+00,0.00000000e+00
1.00000000e+00,8.55964065e-01,-2.35064961e-02,-2.77417572e-03,5.86605107e-04,2.17273178e+01,2.86363339e+00,0.00000000e+00
1.00000000e+00,8.54054272e-01,-2.35106554e-02,-2.58967350e-03,6.87990803e-04,2.17727718e+01,2.86363339e+00,0.00000000e+00
1.00000000e+00,8.52096379e-01,-2.29129940e-02,-2.45210063e-03,5.53509279e-04,2.18182278e+01,2.86363339e+00,0.00000000e+00
1.00000000e+00,8.50081980e-01,-2.30476744e-02,-2.37443554e-03,7.38074363e-04,2.18636818e+01,2.86363339e+00,0.00000000e+00
1.00000000e+00,8.48020613e-01,-2.11539138e-02,-2.01386120e-03,4.17370175e-04,2.19091358e+01,2.86363339e+00,0.00000000e+00
1.00000000e+00,8.46101105e-01,-2.46535186e-02,-2.61896360e-03,1.12790940e-03,2.19545898e+01,2.86363339e+00,0.00000000e+00
4.00000000e+00,8.43521953e-01,0.00000000e+00,0.00000000e+00,9.67795849e-02,2.20000458e+01,2.86363339e+00,0.00000000e+00
1.00000000e+00,8.45961034e-01,-2.14321297e-02,-2.98476778e-03,6.62582752e-04,2.15454998e+01,2.90908790e+00,0.00000000e+00
1.00000000e+00,8.44484210e-01,-2.18424462e-02,-3.12066870e-03,7.02392950e-04,2.15909538e+01,2.90908790e+00,0.00000000e+00
1.00000000e+00,8.42825234e-01,-2.18379851e-02,-3.11619439e-03,6.48594229e-04,2.16364098e+01,2.90908790e+00,0.00000000e+00
