geometry,ux,uy,p,knudsen,x,y
2,0,0,0.544447005,0.00660162605,0,0
2,0,0,0.549059749,0.0081547061,0.200000003,0
3,0.185603812,0,0.534966171,0.0203568898,0,0.200000003
1,0.198615491,-0.0140193123,0.542839468,0.00680421386,0.200000003,0.200000003
2,0,0,0.533030689,0.0084948875,0.400000006,0
1,0.221169591,-0.0103765419,0.538183451,0.00651422655,0.400000006,0.200000003
2,0,0,0.528112888,0.00979079027,0.600000024,0
1,0.2393547,-0.0120597789,0.525535703,0.00701353839,0.600000024,0.200000003
2,0,0,0.522811353,0.0111074317,0.800000012,0
1,0.262583286,-0.0159176942,0.516866803,0.00763208605,0.800000012,0.200000003
2,0,0,0.507113338,0.0123284189,1,0
1,0.294807911,-0.0199551992,0.511175871,0.0084035052,1,0.200000003
2,0,0,0.503723145,0.0144367348,1.20000005,0
1,0.334386021,-0.0253328104,0.497400671,0.00958579406,1.20000005,0.200000003
2,0,0,0.480026245,0.0164938737,1.39999998,0
1,0.379671305,-0.026293816,0.479883969,0.0106480205,1.39999998,0.200000003
2,0,0,0.455713868,0.0186895356,1.60000002,0
1,0.426132232,-0.0259631202,0.454295933,0.0115633234,1.60000002,0.200000003
2,0,0,0.425702423,0.0207283944,1.79999995,0
1,0.469641536,-0.0229566339,0.421812534,0.0124462806,1.79999995,0.200000003
2,0,0,0.386892021,0.0223694183,2,0
1,0.508049369,-0.0185289495,0.386707991,0.0131703941,2,0.200000003
2,0,0,0.352331519,0.0235754307,2.20000005,0
1,0.537736237,-0.0124844629,0.349783123,0.0137169706,2.20000005,0.200000003
2,0,0,0.315298706,0.0241427328,2.4000001,0
1,0.557481825,-0.0060409368,0.314356536,0.0141180828,2.4000001,0.200000003
2,0,0,0.284355462,0.0241703484,2.5999999,0
1,0.567376614,-0.000309593015,0.283149242,0.0145626552,2.5999999,0.200000003
2,0,0,0.258322626,0.0236599371,2.79999995,0
1,0.567840219,0.00515765138,0.257625997,0.0150648085,2.79999995,0.200000003
2,0,0,0.237640336,0.0227239672,3,0
1,0.5598225,0.00956845004,0.237767518,0.0156015242,3,0.200000003
2,0,0,0.223202944,0.0214619748,3.20000005,0
1,0.544304967,0.0132824937,0.223142266,0.0160430185,3.20000005,0.200000003
2,0,0,0.213198125,0.019944841,3.4000001,0
1,0.52257961,0.0160928555,0.213666305,0.0162488259,3.4000001,0.200000003
2,0,0,0.208336055,0.0182823241,3.5999999,0
1,0.496046275,0.017876992,0.208965838,0.0162095558,3.5999999,0.200000003
2,0,0,0.207909733,0.0165782981,3.79999995,0
1,0.466441453,0.0185760558,0.208523244,0.0159423668,3.79999995,0.200000003
2,0,0,0.211294085,0.0149245774,4,0
1,0.435719818,0.0181675814,0.212110654,0.0154758664,4,0.200000003
2,0,0,0.218476474,0.0134161664,4.19999981,0
1,0.405839682,0.0166882556,0.219216362,0.0148710543,4.19999981,0.200000003
2,0,0,0.228596002,0.0121184252,4.4000001,0
1,0.378608763,0.0144210188,0.229354978,0.0141923791,4.4000001,0.200000003
2,0,0,0.241361499,0.0110794101,4.5999999,0
1,0.355339378,0.0116699971,0.241981447,0.0135139544,4.5999999,0.200000003
2,0,0,0.255964577,0.0102999657,4.80000019,0
1,0.336697489,0.0088009974,0.256544203,0.0128883887,4.80000019,0.200000003
2,0,0,0.271762282,0.00976322033,5,0
1,0.322659135,0.00623748265,0.272240698,0.0123637579,5,0.200000003
2,0,0,0.287585676,0.00941056479,5.19999981,0
1,0.312461227,0.00429525413,0.288099051,0.0119414339,5.19999981,0.200000003
2,0,0,0.302339017,0.00919115636,5.4000001,0
1,0.304813266,0.00318709272,0.302919626,0.0116176875,5.4000001,0.200000003
2,0,0,0.314939827,0.00902447663,5.5999999,0
1,0.298058867,0.00306445104,0.315584958,0.0113540757,5.5999999,0.200000003
2,0,0,0.324440211,0.00884191785,5.80000019,0
1,0.29055196,0.00371804624,0.325242043,0.0110863671,5.80000019,0.200000003
2,0,0,0.33040607,0.00860402547,6,0
1,0.281101227,0.0048157475,0.331331313,0.0107622994,6,0.200000003
2,0,0,0.332673192,0.00828654319,6.19999981,0
1,0.269202739,0.00597764505,0.333668619,0.0103310691,6.19999981,0.200000003
2,0,0,0.331163496,0.00790692028,6.4000001,0
1,0.255070716,0.00687989406,0.332339644,0.00979080237,6.4000001,0.200000003
2,0,0,0.326533973,0.00748006487,6.5999999,0
1,0.239417687,0.00748696411,0.327615052,0.00917275436,6.5999999,0.200000003
2,0,0,0.319273502,0.00701471744,6.80000019,0
1,0.223000854,0.00786126498,0.320270091,0.00853722077,6.80000019,0.200000003
2,0,0,0.310297459,0.00649541337,7,0
1,0.206495479,0.00806306675,0.311252415,0.00792552251,7,0.200000003
2,0,0,0.301442027,0.00594127038,7.19999981,0
1,0.190656945,0.00782109424,0.301844716,0.00735779619,7.19999981,0.200000003
2,0,0,0.293342859,0.0054052854,7.4000001,0
1,0.176590279,0.00677614938,0.293756276,0.00684568472,7.4000001,0.200000003
2,0,0,0.288331121,0.00495030265,7.5999999,0
1,0.165946782,0.00473149261,0.288253427,0.00640263921,7.5999999,0.200000003
2,0,0,0.287072778,0.00468045287,7.80000019,0
1,0.160295323,0.00170577609,0.286524713,0.00607855478,7.80000019,0.200000003
2,0,0,0.289272279,0.00467254547,8,0
1,0.160683334,-0.00159907807,0.288936436,0.00618097465,8,0.200000003
2,0,0,0.297807842,0.00492235273,8.19999981,0
1,0.167145833,-0.0048127952,0.295969009,0.00658172928,8.19999981,0.200000003
2,0,0,0.307466507,0.00543884002,8.39999962,0
1,0.178802162,-0.00790027995,0.307181031,0.00704980595,8.39999962,0.200000003
2,0,0,0.31697455,0.00616245391,8.60000038,0
1,0.195149332,-0.0100397635,0.317338437,0.00759947719,8.60000038,0.200000003
2,0,0,0.32654652,0.00698825065,8.80000019,0
1,0.212831423,-0.00904991105,0.324232131,0.0080761658,8.80000019,0.200000003
2,0,0,0.329563439,0.00749186566,9,0
1,0.226897851,-0.00614872715,0.330275953,0.00818230864,9,0.200000003
2,0,0,0.335880905,0.00800728053,9.19999981,0
1,0.23597078,-0.0038534631,0.334416449,0.0083155809,9.19999981,0.200000003
2,0,0,0.337165058,0.0080963159,9.39999962,0
1,0.2407967,-0.00137060985,0.337857872,0.00823045895,9.39999962,0.200000003
2,0,0,0.336416662,0.0081380941,9.60000038,0
1,0.242276415,-0.000824392657,0.337597817,0.00807783846,9.60000038,0.200000003
2,0,0,0.337789983,0.00839078054,9.80000019,0
1,0.241329417,0.000397202937,0.335746735,0.00807927363,9.80000019,0.200000003
2,0,0,0.334249675,0.0083112698,10,0
1,0.239067107,0.00111143291,0.33570534,0.00785140879,10,0.200000003
2,0,0,0.33137843,0.00823344104,10.1999998,0
1,0.235440463,0.00177048717,0.332821876,0.00767979678,10.1999998,0.200000003
2,0,0,0.32913515,0.00821386836,10.3999996,0
1,0.230981663,0.00199421216,0.32755971,0.00752427801,10.3999996,0.200000003
2,0,0,0.323301226,0.00801490061,10.6000004,0
1,0.226277083,0.00280756387,0.323928505,0.00737797702,10.6000004,0.200000003
2,0,0,0.317844033,0.00780224707,10.8000002,0
