"geometry","physVelocity:0","physVelocity:1","physPressure","knudsen","Points:0","Points:1","Points:2"
2.00000000e+00,6.40799552e-02,-1.50587102e-02,3.14876400e-02,5.56622632e-03,2.11999989e+00,0.00000000e+00,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,2.15416670e-01,1.07205976e-02,2.13000011e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.70631900e-01,-1.08050031e-03,9.31836516e-02,6.92597264e-03,2.11999989e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,1.55177400e-01,1.17417295e-02,1.20582029e-01,9.22274869e-03,2.13000011e+00,9.99999978e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.85821813e-02,9.29397624e-03,2.14000010e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.44852042e-01,1.15851769e-02,1.87154002e-02,7.89764244e-03,2.14000010e+00,9.99999978e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.83457334e-02,4.54889191e-03,2.15000010e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.32538378e-01,4.95823007e-03,7.81973004e-02,6.11418765e-03,2.15000010e+00,9.99999978e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,1.44723952e-01,8.68956465e-03,2.16000009e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.43933713e-01,-6.80052117e-03,1.29857853e-01,1.05478652e-02,2.16000009e+00,9.99999978e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-5.72015680e-02,9.24626552e-03,2.17000008e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.65239424e-01,-4.00255956e-02,2.89677456e-02,7.50611862e-03,2.17000008e+00,9.99999978e-03,0.00000000e+00
2.00000000e+00,6.83892965e-02,2.01952364e-02,-1.89692587e-01,9.08724964e-03,2.18000007e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.88927680e-01,1.31908683e-02,-1.88002661e-02,1.75072327e-02,2.18000007e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,2.89770037e-01,1.41317016e-02,1.33282244e-01,1.01952879e-02,2.11999989e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,2.68893003e-01,4.29075165e-03,4.46433835e-02,6.16664812e-03,2.13000011e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,2.68120199e-01,2.21123658e-02,1.32089719e-01,4.62707691e-03,2.14000010e+00,1.99999996e-02,0.00000000e+00
