geometry,ux,uy,p,x,y
2,0,0,0.805829585,3,0
1,0.188285694,-7.58616852E-06,0.805868983,3,0.0500000007
1,0.359709799,-1.52240636E-05,0.806001723,3,0.100000001
1,0.510950804,-2.05164888E-05,0.805536687,3,0.150000006
1,0.642032683,-4.15175746E-05,0.805619895,3,0.200000003
1,0.752965987,-5.80367414E-05,0.806268275,3,0.25
1,0.843714595,-5.79164225E-05,0.805554867,3,0.300000012
1,0.914304137,-6.11459909E-05,0.805100679,3,0.349999994
1,0.964763045,-5.23393137E-05,0.806231856,3,0.400000006
1,0.995019794,-2.21466398E-05,0.805886805,3,0.449999988
1,1.0050844,-1.47741079E-14,0.80483377,3,0.5
1,0.995019794,2.21466398E-05,0.805886805,3,0.550000012
1,0.964763045,5.23393137E-05,0.806231856,3,0.600000024
1,0.914304137,6.11459909E-05,0.805100679,3,0.649999976
1,0.843714595,5.79164225E-05,0.805554867,3,0.699999988
1,0.752965987,5.80367414E-05,0.806268275,3,0.75
1,0.642032683,4.15175746E-05,0.805619895,3,0.800000012
1,0.510950804,2.05164888E-05,0.805536687,3,0.850000024
1,0.359709799,1.52240636E-05,0.806001723,3,0.899999976
1,0.188285694,7.58616852E-06,0.805868983,3,0.949999988
2,0,0,0.805829585,3,1
