geometry;ux;uy;p;x;y
1;0,83937126;7,0840974e-07;1,7606661;3,05;0,69999999
1;0,83937126;7,0841827e-07;1,7206661;3,0999999;0,69999999
1;0,83937126;7,0842674e-07;1,6806661;3,1500001;0,69999999
1;0,83937126;7,0843527e-07;1,6406661;3,2;0,69999999
1;0,83937126;7,0844379e-07;1,600666;3,25;0,69999999
1;0,83937132;7,0845226e-07;1,5606661;3,3;0,69999999
1;0,83937132;7,0846079e-07;1,5206661;3,3499999;0,69999999
1;0,83937132;7,0846926e-07;1,480666;3,4000001;0,69999999
1;0,83937132;7,0847778e-07;1,4406661;3,45;0,69999999
1;0,83937132;7,0848625e-07;1,4006661;3,5;0,69999999
1;0,83937132;7,0849478e-07;1,360666;3,55;0,69999999
1;0,83937132;7,0850325e-07;1,3206661;3,5999999;0,69999999
1;0,83937138;7,0851178e-07;1,2806661;3,6500001;0,69999999
1;0,83937138;7,0852025e-07;1,2406662;3,7;0,69999999
1;0,83937138;7,0852877e-07;1,2006661;3,75;0,69999999
1;0,83937138;7,085373e-07;1,1606661;3,8;0,69999999
1;0,83937138;7,0854577e-07;1,1206661;3,8499999;0,69999999
1;0,83937138;7,085543e-07;1,0806661;3,9000001;0,69999999
1;0,83942771;0,00033179088;1,0388063;3,95;0,69999999
4;0,83943081;0;1;4;0,69999999
1;0,74937123;8,8549098e-07;1,8405941;2,95;0,75
1;0,74937123;8,8550161e-07;1,8005941;3;0,75
1;0,74937123;8,8551224e-07;1,7605941;3,05;0,75
1;0,74937123;8,8552287e-07;1,720594;3,0999999;0,75
1;0,74937129;8,855335e-07;1,6805941;3,1500001;0,75
1;0,74937129;8,8554413e-07;1,6405941;3,2;0,75
1;0,74937129;8,8555475e-07;1,600594;3,25;0,75
1;0,74937129;8,8556538e-07;1,5605941;3,3;0,75
1;0,74937129;8,8557596e-07;1,5205941;3,3499999;0,75
1;0,74937129;8,8558659e-07;1,480594;3,4000001;0,75
1;0,74937135;8,8559722e-07;1,4405941;3,45;0,75
1;0,74937135;8,8560785e-07;1,4005941;3,5;0,75
1;0,74937135;8,8561848e-07;1,3605942;3,55;0,75
1;0,74937135;8,8562911e-07;1,3205941;3,5999999;0,75
1;0,74937135;8,8563974e-07;1,2805941;3,6500001;0,75
1;0,74937135;8,8565037e-07;1,2405941;3,7;0,75
1;0,74937141;8,85661e-07;1,2005941;3,75;0,75
1;0,74937141;8,8567162e-07;1,1605941;3,8;0,75
1;0,74937141;8,8568225e-07;1,1205941;3,8499999;0,75
1;0,74937141;8,8569288e-07;1,0805941;3,9000001;0,75
1;0,74939871;0,00036759456;1,0396907;3,95;0,75
4;0,74940169;0;1;4;0,75
1;0,63937122;1,0625891e-06;1,8405061;2,95;0,80000001
1;0,63937122;1,062602e-06;1,8005061;3;0,80000001
1;0,63937128;1,0626147e-06;1,7605062;3,05;0,80000001
1;0,63937128;1,0626275e-06;1,7205061;3,0999999;0,80000001
1;0,63937128;1,0626402e-06;1,6805061;3,1500001;0,80000001
1;0,63937128;1,0626529e-06;1,6405061;3,2;0,80000001
1;0,63937128;1,0626657e-06;1,6005061;3,25;0,80000001
1;0,63937128;1,0626785e-06;1,5605061;3,3;0,80000001
1;0,63937128;1,0626912e-06;1,5205061;3,3499999;0,80000001
1;0,63937134;1,062704e-06;1,4805061;3,4000001;0,80000001
1;0,63937134;1,0627167e-06;1,4405061;3,45;0,80000001
1;0,63937134;1,0627294e-06;1,4005061;3,5;0,80000001
1;0,63937134;1,0627422e-06;1,3605061;3,55;0,80000001
1;0,63937134;1,0627549e-06;1,3205061;3,5999999;0,80000001
1;0,63937134;1,0627678e-06;1,2805061;3,6500001;0,80000001
1;0,6393714;1,0627805e-06;1,2405061;3,7;0,80000001
1;0,6393714;1,0627932e-06;1,2005061;3,75;0,80000001
1;0,6393714;1,0628059e-06;1,1605061;3,8;0,80000001
1;0,6393714;1,0628187e-06;1,120506;3,8499999;0,80000001
1;0,6393714;1,0628314e-06;1,0805061;3,9000001;0,80000001
1;0,63936341;0,00037196896;1,0407718;3,95;0,80000001
4;0,63936603;0;1;4;0,80000001
1;0,50937122;1,2396874e-06;1,8404021;2,95;0,85000002
1;0,50937122;1,2397023e-06;1,800402;3;0,85000002
1;0,50937122;1,2397172e-06;1,7604021;3,05;0,85000002
1;0,50937128;1,2397321e-06;1,7204021;3,0999999;0,85000002
1;0,50937128;1,2397469e-06;1,680402;3,1500001;0,85000002
