"geometry","physVelocity:0","physVelocity:1","physPressure","knudsen","Points:0","Points:1","Points:2"
2.00000000e+00,5.98367490e-02,-1.49801495e-02,-2.96896305e-02,5.29339677e-03,2.11999989e+00,0.00000000e+00,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,1.46578327e-01,1.01253921e-02,2.13000011e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.67148858e-01,-5.69743395e-04,2.87681334e-02,7.07775960e-03,2.11999989e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,1.51811689e-01,9.60766431e-03,5.59511445e-02,9.12450626e-03,2.13000011e+00,9.99999978e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.00406436e-02,9.14962403e-03,2.14000010e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.43783957e-01,1.09162088e-02,-4.22756337e-02,7.82504957e-03,2.14000010e+00,9.99999978e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-7.09907897e-03,4.76040971e-03,2.15000010e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.32990733e-01,4.65482660e-03,2.26581004e-02,6.70745270e-03,2.15000010e+00,9.99999978e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,9.59789380e-02,8.28031171e-03,2.16000009e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.46446392e-01,-6.95376424e-03,8.17865878e-02,1.09040914e-02,2.16000009e+00,9.99999978e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.11148208e-01,9.62842070e-03,2.17000008e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.71000510e-01,-4.51836996e-02,-2.14879885e-02,8.15103669e-03,2.17000008e+00,9.99999978e-03,0.00000000e+00
2.00000000e+00,7.19226822e-02,2.23238915e-02,-2.47144997e-01,9.62693710e-03,2.18000007e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.00762808e-01,1.31255882e-02,-6.64814115e-02,1.91849787e-02,2.18000007e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,2.90705621e-01,1.30899893e-02,6.60997182e-02,1.04743158e-02,2.11999989e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,2.71029234e-01,2.74234242e-03,-1.69880278e-02,6.45806501e-03,2.13000011e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,2.72428989e-01,1.61231197e-02,7.48046488e-02,4.72910050e-03,2.14000010e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.00366491e-01,-1.90614106e-03,2.46203635e-02,6.56965049e-03,2.15000010e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.02579522e-01,-3.28906998e-02,-3.36745828e-02,5.16843423e-03,2.16000009e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.08246017e-01,-5.15938625e-02,6.53182268e-02,3.18193762e-03,2.17000008e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.50786746e-01,-2.87854429e-02,1.66439172e-02,1.91831738e-02,2.18000007e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,4.38941598e-01,2.85763443e-02,7.89100453e-02,9.36056580e-03,2.11999989e+00,2.99999993e-02,0.00000000e+00
1.00000000e+00,4.26685095e-01,2.86589116e-02,1.71773825e-02,8.20205919e-03,2.13000011e+00,2.99999993e-02,0.00000000e+00
1.00000000e+00,4.13532972e-01,1.02431672e-02,7.90630803e-02,7.07014138e-03,2.14000010e+00,2.99999993e-02,0.00000000e+00
1.00000000e+00,4.19023216e-01,-2.72600353e-02,2.83077955e-02,1.03962775e-02,2.15000010e+00,2.99999993e-02,0.00000000e+00
1.00000000e+00,4.34144676e-01,-3.04975640e-02,-1.98488068e-02,7.44276587e-03,2.16000009e+00,2.99999993e-02,0.00000000e+00
1.00000000e+00,4.46496934e-01,-9.46325287e-02,4.65378873e-02,4.09336388e-03,2.17000008e+00,2.99999993e-02,0.00000000e+00
1.00000000e+00,4.67708796e-01,-4.68454994e-02,5.36699817e-02,1.57527458e-02,2.18000007e+00,2.99999993e-02,0.00000000e+00
1.00000000e+00,5.86553156e-01,3.81574333e-02,7.73843303e-02,7.53266551e-03,2.11999989e+00,3.99999991e-02,0.00000000e+00
1.00000000e+00,5.90029359e-01,4.15220633e-02,8.46367925e-02,7.60340225e-03,2.13000011e+00,3.99999991e-02,0.00000000e+00
1.00000000e+00,5.94437540e-01,9.74306487e-04,-1.12993047e-02,5.66846831e-03,2.14000010e+00,3.99999991e-02,0.00000000e+00
1.00000000e+00,5.84174812e-01,-2.85569243e-02,5.63743897e-02,4.85024694e-03,2.15000010e+00,3.99999991e-02,0.00000000e+00
1.00000000e+00,5.83113313e-01,-1.73665620e-02,9.85956714e-02,8.97075702e-03,2.16000009e+00,3.99999991e-02,0.00000000e+00
1.00000000e+00,5.67953825e-01,-1.03531539e-01,6.27892092e-03,3.57742421e-03,2.17000008e+00,3.99999991e-02,0.00000000e+00
1.00000000e+00,5.55078268e-01,-5.92319630e-02,1.60958078e-02,1.40218223e-02,2.18000007e+00,3.99999991e-02,0.00000000e+00
1.00000000e+00,7.06516981e-01,3.03186737e-02,6.83740526e-02,6.07253704e-03,2.11999989e+00,5.00000007e-02,0.00000000e+00
1.00000000e+00,7.20263898e-01,2.63188276e-02,1.09519534e-01,5.91675378e-03,2.13000011e+00,5.00000007e-02,0.00000000e+00
1.00000000e+00,7.30115354e-01,9.90327913e-03,5.15705496e-02,5.73700853e-03,2.14000010e+00,5.00000007e-02,0.00000000e+00
1.00000000e+00,7.11717427e-01,-1.46633405e-02,6.33268431e-02,2.90843216e-03,2.15000010e+00,5.00000007e-02,0.00000000e+00
1.00000000e+00,7.02168465e-01,-1.75925419e-02,6.98457882e-02,7.55385216e-03,2.16000009e+00,5.00000007e-02,0.00000000e+00
1.00000000e+00,6.86995268e-01,-7.11552426e-02,5.76894693e-02,2.93145329e-03,2.17000008e+00,5.00000007e-02,0.00000000e+00
1.00000000e+00,6.58578217e-01,-5.21819890e-02,8.12102780e-02,1.29762078e-02,2.18000007e+00,5.00000007e-02,0.00000000e+00
