geometry,physVelocity:0,physVelocity:1,physPressure,knudsen,Points:0,Points:1
1.00000000e+00,1.33255458e+00,-1.88021526e-01,1.29437834e-01,1.86429918e-03,2.20000005e+00,1.04999995e+00
1.00000000e+00,1.30910683e+00,-1.63465127e-01,1.50425926e-01,2.26250943e-03,2.25000000e+00,1.00000000e+00
1.00000000e+00,1.33969700e+00,-1.70571774e-01,1.27835184e-01,1.51473703e-03,2.25000000e+00,1.04999995e+00
1.00000000e+00,1.31694472e+00,-1.48822054e-01,1.45009205e-01,2.14449014e-03,2.29999995e+00,1.00000000e+00
1.00000000e+00,1.34417391e+00,-1.54094771e-01,1.14962876e-01,1.27821742e-03,2.29999995e+00,1.04999995e+00
1.00000000e+00,1.32359350e+00,-1.34208515e-01,1.40033588e-01,2.01019249e-03,2.34999990e+00,1.00000000e+00
1.00000000e+00,1.34751034e+00,-1.38457015e-01,1.12174317e-01,1.09034637e-03,2.34999990e+00,1.04999995e+00
1.00000000e+00,1.32902181e+00,-1.20117761e-01,1.35802314e-01,1.86633784e-03,2.40000010e+00,1.00000000e+00
1.00000000e+00,1.35003328e+00,-1.23648062e-01,1.18403949e-01,9.45502543e-04,2.40000010e+00,1.04999995e+00
1.00000000e+00,1.33320916e+00,-1.07024960e-01,1.32907778e-01,1.71190198e-03,2.45000005e+00,1.00000000e+00
1.00000000e+00,1.35086584e+00,-1.08762436e-01,1.13331109e-01,6.54037984e-04,2.45000005e+00,1.04999995e+00
1.00000000e+00,1.33642340e+00,-9.45241228e-02,1.30306423e-01,1.56154169e-03,2.50000000e+00,1.00000000e+00
1.00000000e+00,1.35051715e+00,-9.54115167e-02,1.04977056e-01,4.85217781e-04,2.50000000e+00,1.04999995e+00
1.00000000e+00,1.33890307e+00,-8.23134482e-02,1.26947373e-01,1.43523829e-03,2.54999995e+00,1.00000000e+00
1.00000000e+00,1.35019147e+00,-8.30018893e-02,1.06482655e-01,3.63695668e-04,2.54999995e+00,1.04999995e+00
1.00000000e+00,1.34071469e+00,-7.05554932e-02,1.23444930e-01,1.32160611e-03,2.59999990e+00,1.00000000e+00
1.00000000e+00,1.34940612e+00,-7.07405880e-02,1.08236060e-01,2.56434636e-04,2.59999990e+00,1.04999995e+00
1.00000000e+00,1.34198761e+00,-5.94037808e-02,1.20097220e-01,1.20375108e-03,2.65000010e+00,1.00000000e+00
1.00000000e+00,1.34767318e+00,-5.87835722e-02,1.03199594e-01,1.30560496e-04,2.65000010e+00,1.04999995e+00
1.00000000e+00,1.34277296e+00,-4.85835671e-02,1.16801754e-01,1.09285582e-03,2.70000005e+00,1.00000000e+00
1.00000000e+00,1.34583116e+00,-4.77983914e-02,9.83860716e-02,1.07853790e-04,2.70000005e+00,1.04999995e+00
1.00000000e+00,1.34315610e+00,-3.78217287e-02,1.13532387e-01,1.00567681e-03,2.75000000e+00,1.00000000e+00
1.00000000e+00,1.34425890e+00,-3.69612165e-02,9.82049182e-02,1.83230994e-04,2.75000000e+00,1.04999995e+00
1.00000000e+00,1.34316349e+00,-2.72669103e-02,1.10358126e-01,9.29608475e-04,2.79999995e+00,1.00000000e+00
1.00000000e+00,1.34247601e+00,-2.62527950e-02,9.77505073e-02,2.63757043e-04,2.79999995e+00,1.04999995e+00
1.00000000e+00,1.34284401e+00,-1.70404986e-02,1.07377902e-01,8.66861257e-04,2.84999990e+00,1.00000000e+00
1.00000000e+00,1.34042132e+00,-1.56475864e-02,9.32125971e-02,3.44543398e-04,2.84999990e+00,1.04999995e+00
1.00000000e+00,1.34221578e+00,-6.95112767e-03,1.04475826e-01,8.12177372e-04,2.90000010e+00,1.00000000e+00
1.00000000e+00,1.33843863e+00,-5.43185370e-03,8.92068073e-02,3.73373361e-04,2.90000010e+00,1.04999995e+00
1.00000000e+00,1.34131968e+00,3.19182756e-03,1.01496279e-01,7.65784236e-04,2.95000005e+00,1.00000000e+00
1.00000000e+00,1.33661473e+00,4.71481821e-03,8.86066109e-02,3.99886951e-04,2.95000005e+00,1.04999995e+00
1.00000000e+00,1.34013748e+00,1.32692019e-02,9.86574963e-02,7.33625784e-04,3.00000000e+00,1.00000000e+00
1.00000000e+00,1.33466363e+00,1.49302464e-02,8.68893787e-02,4.31859022e-04,3.00000000e+00,1.04999995e+00
1.00000000e+00,1.33868289e+00,2.31964029e-02,9.61134881e-02,7.15160044e-04,3.04999995e+00,1.00000000e+00
1.00000000e+00,1.33249986e+00,2.51971465e-02,8.31685141e-02,4.56581009e-04,3.04999995e+00,1.04999995e+00
1.00000000e+00,1.33690214e+00,3.30603309e-02,9.39013436e-02,7.03047554e-04,3.09999990e+00,1.00000000e+00
1.00000000e+00,1.33027160e+00,3.52601781e-02,8.11564773e-02,4.50523745e-04,3.09999990e+00,1.04999995e+00
1.00000000e+00,1.33475137e+00,4.29609567e-02,9.21170488e-02,6.89887791e-04,3.15000010e+00,1.00000000e+00
1.00000000e+00,1.32798910e+00,4.53675203e-02,8.06764141e-02,4.52003878e-04,3.15000010e+00,1.04999995e+00
1.00000000e+00,1.33221507e+00,5.27744666e-02,9.07379091e-02,6.82694663e-04,3.20000005e+00,1.00000000e+00
1.00000000e+00,1.32542586e+00,5.54845519e-02,7.90376663e-02,4.55200585e-04,3.20000005e+00,1.04999995e+00
1.00000000e+00,1.32928145e+00,6.23969473e-02,8.97629932e-02,6.89153501e-04,3.25000000e+00,1.00000000e+00
1.00000000e+00,1.32256615e+00,6.55234531e-02,7.74899125e-02,4.54093417e-04,3.25000000e+00,1.04999995e+00
1.00000000e+00,1.32589579e+00,7.18686655e-02,8.92230496e-02,6.99750031e-04,3.29999995e+00,1.00000000e+00
1.00000000e+00,1.31940126e+00,7.53799602e-02,7.75584653e-02,4.41136159e-04,3.29999995e+00,1.04999995e+00
1.00000000e+00,1.32199907e+00,8.12430754e-02,8.91319215e-02,7.05435174e-04,3.34999990e+00,1.00000000e+00
1.00000000e+00,1.31591964e+00,8.52027014e-02,7.81576708e-02,4.39906842e-04,3.34999990e+00,1.04999995e+00
1.00000000e+00,1.31759274e+00,9.03767198e-02,8.95393267e-02,7.12567591e-04,3.40000010e+00,1.00000000e+00
1.00000000e+00,1.31193042e+00,9.48041379e-02,7.83422291e-02,4.35368856e-04,3.40000010e+00,1.04999995e+00
1.00000000e+00,1.31266797e+00,9.91406664e-02,9.04831886e-02,7.26926140e-04,3.45000005e+00,1.00000000e+00
1.00000000e+00,1.30749297e+00,1.04104146e-01,7.95037448e-02,4.35315364e-04,3.45000005e+00,1.04999995e+00
1.00000000e+00,1.30719507e+00,1.07544795e-01,9.20126587e-02,7.41146214e-04,3.50000000e+00,1.00000000e+00
1.00000000e+00,1.30249000e+00,1.13051683e-01,8.17207173e-02,4.29151260e-04,3.50000000e+00,1.04999995e+00
1.00000000e+00,1.30113411e+00,1.15601346e-01,9.42196622e-02,7.48224615e-04,3.54999995e+00,1.00000000e+00
1.00000000e+00,1.29700959e+00,1.21687390e-01,8.43329057e-02,4.35831316e-04,3.54999995e+00,1.04999995e+00
1.00000000e+00,1.29450691e+00,1.23174265e-01,9.70137492e-02,7.52912776e-04,3.59999990e+00,1.00000000e+00
1.00000000e+00,1.29087436e+00,1.29806086e-01,8.71495232e-02,4.37679118e-04,3.59999990e+00,1.04999995e+00
1.00000000e+00,1.28731489e+00,1.30131543e-01,1.00334600e-01,7.59345887e-04,3.65000010e+00,1.00000000e+00
1.00000000e+00,1.28425002e+00,1.37340069e-01,9.10108089e-02,4.52609063e-04,3.65000010e+00,1.04999995e+00
1.00000000e+00,1.27957892e+00,1.36473313e-01,1.04183793e-01,7.62326934e-04,3.70000005e+00,1.00000000e+00
1.00000000e+00,1.27694237e+00,1.44251034e-01,9.54754278e-02,4.61469113e-04,3.70000005e+00,1.04999995e+00
1.00000000e+00,1.27130187e+00,1.42188266e-01,1.08548693e-01,7.56899419e-04,3.75000000e+00,1.00000000e+00
1.00000000e+00,1.26917636e+00,1.50513589e-01,1.00486845e-01,4.84410353e-04,3.75000000e+00,1.04999995e+00
1.00000000e+00,1.26253891e+00,1.47178859e-01,1.13411635e-01,7.46514823e-04,3.79999995e+00,1.00000000e+00
1.00000000e+00,1.26073706e+00,1.55985236e-01,1.05846792e-01,4.99083137e-04,3.79999995e+00,1.04999995e+00
1.00000000e+00,1.25332725e+00,1.51339933e-01,1.18765727e-01,7.33929803e-04,3.84999990e+00,1.00000000e+00
1.00000000e+00,1.25191665e+00,1.60607085e-01,1.11976407e-01,5.29990299e-04,3.84999990e+00,1.04999995e+00
1.00000000e+00,1.24372375e+00,1.54682994e-01,1.24565914e-01,7.16254814e-04,3.90000010e+00,1.00000000e+00
1.00000000e+00,1.24247551e+00,1.64374709e-01,1.18425205e-01,5.50546160e-04,3.90000010e+00,1.04999995e+00
1.00000000e+00,1.23377323e+00,1.57199562e-01,1.30788758e-01,6.90519169e-04,3.95000005e+00,1.00000000e+00
1.00000000e+00,1.23278618e+00,1.67234540e-01,1.25432387e-01,5.85238216e-04,3.95000005e+00,1.04999995e+00
1.00000000e+00,1.22354925e+00,1.58844501e-01,1.37362480e-01,6.59742451e-04,4.00000000e+00,1.00000000e+00
1.00000000e+00,1.22258520e+00,1.69154912e-01,1.32633269e-01,6.09173439e-04,4.00000000e+00,1.04999995e+00
1.00000000e+00,1.21311533e+00,1.59556210e-01,1.44223005e-01,6.26622757e-04,4.05000019e+00,1.00000000e+00
1.00000000e+00,1.21227312e+00,1.70074418e-01,1.40299618e-01,6.49031484e-04,4.05000019e+00,1.04999995e+00
1.00000000e+00,1.20254529e+00,1.59375504e-01,1.51323721e-01,5.89141622e-04,4.09999990e+00,1.00000000e+00
1.00000000e+00,1.20156538e+00,1.70060143e-01,1.48071140e-01,6.74783485e-04,4.09999990e+00,1.04999995e+00
1.00000000e+00,1.19190884e+00,1.58321142e-01,1.58611268e-01,5.45233430e-04,4.15000010e+00,1.00000000e+00
1.00000000e+00,1.19092119e+00,1.69053197e-01,1.56230822e-01,7.13528134e-04,4.15000010e+00,1.04999995e+00
1.00000000e+00,1.18128252e+00,1.56397790e-01,1.66041866e-01,4.97735396e-04,4.19999981e+00,1.00000000e+00
1.00000000e+00,1.18002975e+00,1.67127803e-01,1.64333776e-01,7.39107258e-04,4.19999981e+00,1.04999995e+00
1.00000000e+00,1.17074418e+00,1.53592691e-01,1.73567876e-01,4.49270650e-04,4.25000000e+00,1.00000000e+00
1.00000000e+00,1.16934741e+00,1.64217755e-01,1.72617525e-01,7.77696900e-04,4.25000000e+00,1.04999995e+00
1.00000000e+00,1.16035974e+00,1.49977013e-01,1.81147546e-01,4.21767007e-04,4.30000019e+00,1.00000000e+00
1.00000000e+00,1.15856707e+00,1.60477147e-01,1.80835351e-01,8.00465059e-04,4.30000019e+00,1.04999995e+00
1.00000000e+00,1.15020168e+00,1.45603523e-01,1.88734904e-01,4.11085464e-04,4.34999990e+00,1.00000000e+00
1.00000000e+00,1.14815962e+00,1.55848518e-01,1.89203486e-01,8.33917176e-04,4.34999990e+00,1.04999995e+00
1.00000000e+00,1.14032757e+00,1.40514657e-01,1.96294889e-01,4.17324773e-04,4.40000010e+00,1.00000000e+00
1.00000000e+00,1.13780141e+00,1.50491759e-01,1.97325528e-01,8.53770529e-04,4.40000010e+00,1.04999995e+00
1.00000000e+00,1.13080156e+00,1.34739459e-01,2.03796938e-01,4.35409573e-04,4.44999981e+00,1.00000000e+00
1.00000000e+00,1.12793088e+00,1.44335344e-01,2.05375761e-01,8.82766733e-04,4.44999981e+00,1.04999995e+00
1.00000000e+00,1.12167597e+00,1.28371060e-01,2.11181581e-01,4.59130650e-04,4.50000000e+00,1.00000000e+00
1.00000000e+00,1.11825156e+00,1.37600377e-01,2.13239506e-01,8.97510094e-04,4.50000000e+00,1.04999995e+00
1.00000000e+00,1.11301124e+00,1.21493712e-01,2.18382895e-01,4.79698094e-04,4.55000019e+00,1.00000000e+00
1.00000000e+00,1.10916531e+00,1.30225644e-01,2.21029058e-01,9.20384715e-04,4.55000019e+00,1.04999995e+00
1.00000000e+00,1.10484672e+00,1.14163138e-01,2.25389719e-01,4.96943016e-04,4.59999990e+00,1.00000000e+00
1.00000000e+00,1.10039687e+00,1.22413047e-01,2.28439987e-01,9.31773800e-04,4.59999990e+00,1.04999995e+00
1.00000000e+00,1.09723592e+00,1.06428050e-01,2.32162699e-01,5.10951097e-04,4.65000010e+00,1.00000000e+00
1.00000000e+00,1.09228444e+00,1.14105843e-01,2.35592172e-01,9.47671360e-04,4.65000010e+00,1.04999995e+00
1.00000000e+00,1.09019768e+00,9.83938575e-02,2.38720506e-01,5.21423586e-04,4.69999981e+00,1.00000000e+00
1.00000000e+00,1.08457220e+00,1.05546847e-01,2.42573678e-01,9.54344752e-04,4.69999981e+00,1.04999995e+00
1.00000000e+00,1.08375597e+00,9.01575685e-02,2.45100230e-01,5.27636148e-04,4.75000000e+00,1.00000000e+00
1.00000000e+00,1.07754529e+00,9.66696069e-02,2.49261186e-01,9.64664039e-04,4.75000000e+00,1.04999995e+00
1.00000000e+00,1.07794881e+00,8.17930922e-02,2.51207411e-01,5.30962425e-04,4.80000019e+00,1.00000000e+00
1.00000000e+00,1.07106721e+00,8.76838490e-02,2.55421698e-01,9.64625913e-04,4.80000019e+00,1.04999995e+00
1.00000000e+00,1.07282388e+00,7.33619407e-02,2.56965876e-01,5.33155689e-04,4.84999990e+00,1.00000000e+00
1.00000000e+00,1.06527877e+00,7.86005780e-02,2.61397153e-01,9.68288863e-04,4.84999990e+00,1.04999995e+00
1.00000000e+00,1.06837559e+00,6.49982914e-02,2.62357861e-01,5.32344508e-04,4.90000010e+00,1.00000000e+00
1.00000000e+00,1.05998218e+00,6.95912912e-02,2.67330915e-01,9.76890326e-04,4.90000010e+00,1.04999995e+00
1.00000000e+00,1.06461585e+00,5.68761379e-02,2.67334759e-01,5.27027296e-04,4.94999981e+00,1.00000000e+00
1.00000000e+00,1.05563021e+00,6.05643019e-02,2.71918297e-01,9.50415619e-04,4.94999981e+00,1.04999995e+00
1.00000000e+00,1.06154072e+00,4.89374883e-02,2.71912754e-01,5.17691195e-04,5.00000000e+00,1.00000000e+00
1.00000000e+00,1.05203259e+00,5.20554408e-02,2.77046710e-01,9.55829280e-04,5.00000000e+00,1.04999995e+00
1.00000000e+00,8.36040378e-01,-2.32986003e-01,5.30206442e-01,5.26044110e-04,1.00000000e+00,1.10000002e+00
1.00000000e+00,8.47397506e-01,-2.48884559e-01,5.29431283e-01,6.37611782e-04,1.04999995e+00,1.10000002e+00
1.00000000e+00,8.60458255e-01,-2.68042684e-01,5.21463335e-01,8.51697347e-04,1.10000002e+00,1.10000002e+00
1.00000000e+00,8.73247266e-01,-2.82638013e-01,4.97298121e-01,4.77772206e-04,1.14999998e+00,1.10000002e+00
1.00000000e+00,8.86486292e-01,-2.97052950e-01,4.99034762e-01,8.73799436e-04,1.20000005e+00,1.10000002e+00
1.00000000e+00,9.08125579e-01,-3.15263033e-01,4.85664159e-01,1.34572526e-03,1.25000000e+00,1.10000002e+00
1.00000000e+00,9.31407213e-01,-3.30951661e-01,4.51681316e-01,7.98494497e-04,1.29999995e+00,1.10000002e+00
1.00000000e+00,9.51103091e-01,-3.45461518e-01,4.53698367e-01,1.05217088e-03,1.35000002e+00,1.10000002e+00
1.00000000e+00,9.76410747e-01,-3.60593945e-01,4.34493750e-01,1.35313300e-03,1.39999998e+00,1.10000002e+00
1.00000000e+00,1.00594270e+00,-3.70868146e-01,3.78985494e-01,1.06319832e-03,1.45000005e+00,1.10000002e+00
1.00000000e+00,1.03334689e+00,-3.80352318e-01,3.79291773e-01,1.52637891e-03,1.50000000e+00,1.10000002e+00
1.00000000e+00,1.06321609e+00,-3.87049407e-01,3.73772979e-01,1.64928334e-03,1.54999995e+00,1.10000002e+00
1.00000000e+00,1.09654903e+00,-3.83287698e-01,3.06334376e-01,1.64466933e-03,1.60000002e+00,1.10000002e+00
1.00000000e+00,1.13010216e+00,-3.83247226e-01,2.76305646e-01,1.92881399e-03,1.64999998e+00,1.10000002e+00
1.00000000e+00,1.16503084e+00,-3.83321404e-01,2.83640683e-01,2.83885980e-03,1.70000005e+00,1.10000002e+00
1.00000000e+00,1.19696784e+00,-3.71284127e-01,2.37318799e-01,2.44643516e-03,1.75000000e+00,1.10000002e+00
1.00000000e+00,1.22033012e+00,-3.54815900e-01,2.06780642e-01,2.31144647e-03,1.79999995e+00,1.10000002e+00
1.00000000e+00,1.24850309e+00,-3.38788509e-01,1.92689791e-01,3.27518489e-03,1.85000002e+00,1.10000002e+00
1.00000000e+00,1.27943993e+00,-3.16310644e-01,1.55298769e-01,2.91869231e-03,1.89999998e+00,1.10000002e+00
1.00000000e+00,1.30035365e+00,-3.01869094e-01,1.72607332e-01,2.72444892e-03,1.95000005e+00,1.10000002e+00
1.00000000e+00,1.31776083e+00,-2.76338309e-01,1.40241042e-01,2.58769770e-03,2.00000000e+00,1.10000002e+00
1.00000000e+00,1.33165455e+00,-2.51958162e-01,9.87603441e-02,2.05399073e-03,2.04999995e+00,1.10000002e+00
1.00000000e+00,1.34288585e+00,-2.35895753e-01,1.23505838e-01,2.28693173e-03,2.09999990e+00,1.10000002e+00
1.00000000e+00,1.35151255e+00,-2.14787975e-01,1.20732501e-01,1.82720541e-03,2.15000010e+00,1.10000002e+00
1.00000000e+00,1.35497999e+00,-1.93086118e-01,9.12294611e-02,1.46182952e-03,2.20000005e+00,1.10000002e+00
1.00000000e+00,1.35617042e+00,-1.73702493e-01,9.40643921e-02,1.23165210e-03,2.25000000e+00,1.10000002e+00
1.00000000e+00,1.35676157e+00,-1.56387165e-01,1.07451588e-01,9.22354637e-04,2.29999995e+00,1.10000002e+00
1.00000000e+00,1.35482562e+00,-1.38454005e-01,9.61386412e-02,6.50632428e-04,2.34999990e+00,1.10000002e+00
1.00000000e+00,1.35061836e+00,-1.22186281e-01,8.69538113e-02,5.07023593e-04,2.40000010e+00,1.10000002e+00
1.00000000e+00,1.34647870e+00,-1.07056059e-01,9.56249610e-02,2.14287604e-04,2.45000005e+00,1.10000002e+00
1.00000000e+00,1.34205878e+00,-9.30527225e-02,9.75363180e-02,3.87697335e-04,2.50000000e+00,1.10000002e+00
1.00000000e+00,1.33644378e+00,-7.98323601e-02,8.94373134e-02,6.48383400e-04,2.54999995e+00,1.10000002e+00
1.00000000e+00,1.33100080e+00,-6.76014423e-02,8.73491764e-02,7.36499205e-04,2.59999990e+00,1.10000002e+00
1.00000000e+00,1.32641006e+00,-5.56959361e-02,9.10992697e-02,9.20197519e-04,2.65000010e+00,1.10000002e+00
1.00000000e+00,1.32172811e+00,-4.46971059e-02,8.95141885e-02,1.10501272e-03,2.70000005e+00,1.10000002e+00
1.00000000e+00,1.31701052e+00,-3.38895470e-02,8.33621770e-02,1.19915465e-03,2.75000000e+00,1.10000002e+00
1.00000000e+00,1.31299043e+00,-2.34137494e-02,8.16354901e-02,1.23449904e-03,2.79999995e+00,1.10000002e+00
1.00000000e+00,1.30971897e+00,-1.31173534e-02,8.26927051e-02,1.30615977e-03,2.84999990e+00,1.10000002e+00
1.00000000e+00,1.30659878e+00,-2.94457749e-03,7.90622085e-02,1.37089100e-03,2.90000010e+00,1.10000002e+00
1.00000000e+00,1.30358803e+00,7.17957504e-03,7.44574517e-02,1.38162891e-03,2.95000005e+00,1.10000002e+00
1.00000000e+00,1.30104446e+00,1.71688683e-02,7.35200867e-02,1.36084051e-03,3.00000000e+00,1.10000002e+00
1.00000000e+00,1.29895329e+00,2.73242109e-02,7.24386722e-02,1.37762714e-03,3.04999995e+00,1.10000002e+00
1.00000000e+00,1.29686224e+00,3.75165939e-02,6.91588819e-02,1.37315434e-03,3.09999990e+00,1.10000002e+00
1.00000000e+00,1.29479015e+00,4.76936996e-02,6.71779811e-02,1.33614044e-03,3.15000010e+00,1.10000002e+00
1.00000000e+00,1.29281235e+00,5.78763001e-02,6.68064132e-02,1.30148896e-03,3.20000005e+00,1.10000002e+00
1.00000000e+00,1.29082334e+00,6.81397095e-02,6.58120960e-02,1.28135236e-03,3.25000000e+00,1.10000002e+00
1.00000000e+00,1.28854251e+00,7.83477873e-02,6.48423508e-02,1.24407862e-03,3.29999995e+00,1.10000002e+00
1.00000000e+00,1.28604078e+00,8.84724036e-02,6.53853863e-02,1.20206911e-03,3.34999990e+00,1.10000002e+00
1.00000000e+00,1.28321922e+00,9.84657556e-02,6.64049610e-02,1.16987561e-03,3.40000010e+00,1.10000002e+00
1.00000000e+00,1.28002214e+00,1.08262040e-01,6.74796328e-02,1.14809640e-03,3.45000005e+00,1.10000002e+00
1.00000000e+00,1.27626264e+00,1.17751315e-01,6.94961995e-02,1.11606461e-03,3.50000000e+00,1.10000002e+00
1.00000000e+00,1.27203536e+00,1.26903951e-01,7.26030841e-02,1.09178701e-03,3.54999995e+00,1.10000002e+00
1.00000000e+00,1.26718175e+00,1.35601178e-01,7.59432688e-02,1.07490167e-03,3.59999990e+00,1.10000002e+00
1.00000000e+00,1.26176751e+00,1.43750131e-01,7.99265653e-02,1.06776995e-03,3.65000010e+00,1.10000002e+00
1.00000000e+00,1.25564492e+00,1.51259646e-01,8.48671123e-02,1.05465471e-03,3.70000005e+00,1.10000002e+00
1.00000000e+00,1.24896538e+00,1.58098772e-01,9.05273855e-02,1.05491746e-03,3.75000000e+00,1.10000002e+00
