geometry,ux,uy,p,x,y
1,0.35850668,-0.000428872561,1.16920698,2.54999995,0.100000001
1,0.358919889,-0.00039475903,1.12977266,2.5999999,0.100000001
1,0.35911262,-0.000241238085,1.08828211,2.6500001,0.100000001
1,0.359294683,-0.000146671417,1.04747868,2.70000005,0.100000001
1,0.35946995,-0.000114090115,1.00774062,2.75,0.100000001
1,0.359560937,-9.79758479E-05,0.967705369,2.79999995,0.100000001
1,0.359605372,-4.39635769E-05,0.926998377,2.8499999,0.100000001
1,0.359654158,-2.47289936E-05,0.88632834,2.9000001,0.100000001
1,0.359694213,-2.41339767E-05,0.846191406,2.95000005,0.100000001
1,0.359709799,-1.52240636E-05,0.806001723,3,0.100000001
1,0.359717071,-2.11406146E-07,0.765432477,3.04999995,0.100000001
1,0.359727293,6.42317048E-07,0.724938333,3.0999999,0.100000001
1,0.359734148,-2.12272184E-07,0.684717953,3.1500001,0.100000001
1,0.35973376,5.66795143E-06,0.644409955,3.20000005,0.100000001
1,0.35973084,9.49546575E-06,0.603934288,3.25,0.100000001
1,0.359727263,1.3145489E-05,0.563554704,3.29999995,0.100000001
1,0.3597188,1.68136576E-05,0.523264229,3.3499999,0.100000001
1,0.359701753,2.94052643E-05,0.482932478,3.4000001,0.100000001
1,0.35967648,3.79701014E-05,0.442540944,3.45000005,0.100000001
1,0.35963881,6.74224357E-05,0.402205825,3.5,0.100000001
1,0.359577239,8.58101557E-05,0.361899048,3.54999995,0.100000001
1,0.359483749,0.000136334012,0.32180059,3.5999999,0.100000001
1,0.359364331,0.000194592547,0.281422108,3.6500001,0.100000001
1,0.359185427,0.000294139405,0.241124883,3.70000005,0.100000001
1,0.358934045,0.000296205748,0.201865509,3.75,0.100000001
1,0.358674377,0.00052446156,0.162298411,3.79999995,0.100000001
1,0.358430624,0.000275455997,0.121309273,3.8499999,0.100000001
1,0.358408064,-3.44982436E-05,0.0870837867,3.9000001,0.100000001
1,0.359092265,-0.00181170751,0.043927379,3.95000005,0.100000001
4,0.359724939,0,0,4,0.100000001
1,0.485560983,0.014206768,1.9209646,1.89999998,0.150000006
1,0.482896656,0.00996813271,1.47372198,1.95000005,0.150000006
1,0.487450242,0.0111672543,1.7179271,2,0.150000006
1,0.492243618,-0.00970556121,1.48836076,2.04999995,0.150000006
1,0.4940373,-0.0033520381,1.4391433,2.0999999,0.150000006
1,0.499287784,-0.00872975774,1.50930095,2.1500001,0.150000006
1,0.501220405,-0.00648356322,1.45428276,2.20000005,0.150000006
1,0.502225757,-0.00396095077,1.38710952,2.25,0.150000006
1,0.504296958,-0.00404978404,1.35349095,2.29999995,0.150000006
1,0.506377816,-0.00330029591,1.33722818,2.3499999,0.150000006
1,0.507440329,-0.00219737343,1.2906512,2.4000001,0.150000006
1,0.508119524,-0.00155106152,1.2412225,2.45000005,0.150000006
1,0.508935452,-0.00136737945,1.20886242,2.5,0.150000006
1,0.509619594,-0.000990799279,1.17227447,2.54999995,0.150000006
1,0.509954989,-0.000626281428,1.12659621,2.5999999,0.150000006
1,0.510218382,-0.000460751646,1.08677733,2.6500001,0.150000006
1,0.510490417,-0.000382579077,1.04958272,2.70000005,0.150000006
1,0.510655522,-0.000236537744,1.00782716,2.75,0.150000006
1,0.510741889,-0.000142910954,0.966132641,2.79999995,0.150000006
1,0.510831833,-0.000110342189,0.927221894,2.8499999,0.150000006
1,0.510898352,-7.97101457E-05,0.887160122,2.9000001,0.150000006
1,0.510926306,-3.7215359E-05,0.845756412,2.95000005,0.150000006
1,0.510950804,-2.05164888E-05,0.805536687,3,0.150000006
1,0.510976493,-1.4980209E-05,0.765779614,3.04999995,0.150000006
1,0.510985851,-4.18584978E-06,0.725120306,3.0999999,0.150000006
1,0.510988832,5.98851511E-06,0.684447885,3.1500001,0.150000006
1,0.510995686,1.03094144E-05,0.644349813,3.20000005,0.150000006
1,0.510997593,1.46776774E-05,0.604112089,3.25,0.150000006
1,0.510991216,2.49304794E-05,0.563561022,3.29999995,0.150000006
1,0.510982931,3.61136954E-05,0.52316016,3.3499999,0.150000006
1,0.510968804,5.49537581E-05,0.482949317,3.4000001,0.150000006
1,0.510941446,7.62092532E-05,0.44263342,3.45000005,0.150000006
1,0.510901153,0.000118677199,0.402236938,3.5,0.150000006
1,0.51084578,0.000172163127,0.361828089,3.54999995,0.150000006
1,0.510752678,0.000250162004,0.321707696,3.5999999,0.150000006
1,0.510627985,0.000341799401,0.281724423,3.6500001,0.150000006
1,0.510480464,0.000500396185,0.241214812,3.70000005,0.150000006
1,0.51028192,0.000572373625,0.200703576,3.75,0.150000006
1,0.510045409,0.000703964964,0.162595212,3.79999995,0.150000006
1,0.509933412,0.000538846361,0.121907845,3.8499999,0.150000006
1,0.509967744,-0.000476968533,0.081581533,3.9000001,0.150000006
1,0.510437608,-0.00249988656,0.0429821499,3.95000005,0.150000006
4,0.510888815,0,0,4,0.150000006
1,0.62891835,0.0202749278,1.96585226,1.89999998,0.200000003
1,0.629574001,0.0174641963,1.75623059,1.95000005,0.200000003
1,0.631301761,-0.000737171562,1.48871052,2,0.200000003
1,0.633278728,-0.0101111718,1.4524976,2.04999995,0.200000003
1,0.635726035,-0.00444671139,1.63250053,2.0999999,0.200000003
1,0.634874046,-0.0105885891,1.48412406,2.1500001,0.200000003
1,0.633297145,-0.00684463978,1.37993634,2.20000005,0.200000003
1,0.636027515,-0.00667314976,1.40952337,2.25,0.200000003
1,0.638002694,-0.0053235027,1.38882852,2.29999995,0.200000003
1,0.638065577,-0.00405583251,1.32018721,2.3499999,0.200000003
1,0.638578951,-0.00317695807,1.27705181,2.4000001,0.200000003
1,0.639810503,-0.00251588901,1.25190306,2.45000005,0.200000003
1,0.640487611,-0.00185374951,1.21168149,2.5,0.200000003
1,0.64070344,-0.00136570772,1.16618359,2.54999995,0.200000003
1,0.641036987,-0.000997027499,1.12710786,2.5999999,0.200000003
1,0.641423285,-0.000737393391,1.08879721,2.6500001,0.200000003
1,0.641613781,-0.00052566448,1.04804754,2.70000005,0.200000003
1,0.641708374,-0.000354408112,1.00740063,2.75,0.200000003
1,0.641822875,-0.000246974669,0.967065334,2.79999995,0.200000003
1,0.641923547,-0.000172811604,0.926709831,2.8499999,0.200000003
1,0.641973972,-0.00010962665,0.886624753,2.9000001,0.200000003
1,0.642003238,-6.46512781E-05,0.846302807,2.95000005,0.200000003
1,0.642032683,-4.15175746E-05,0.805619895,3,0.200000003
