geometry,ux,uy,p,knudsen,metrik,x,y,z
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.31886101e-01,3.34959361e-03,1.95150549e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.33062696e-01,3.64453043e-03,2.07325237e+00,1.00000001e-01,0.00000000e+00,0.00000000e+00
3.00000000e+00,9.51814428e-02,0.00000000e+00,5.28658390e-01,1.08157648e-02,3.64258320e+00,0.00000000e+00,1.00000001e-01,0.00000000e+00
1.00000000e+00,9.88481566e-02,-3.38237337e-03,5.30887842e-01,3.51562677e-03,2.02130134e+00,1.00000001e-01,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.27268291e-01,3.60381720e-03,2.05704525e+00,2.00000003e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.03904396e-01,-1.60277844e-03,5.30059934e-01,3.38448095e-03,1.96645402e+00,2.00000003e-01,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.28948367e-01,3.87601461e-03,2.16209343e+00,3.00000012e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.07483521e-01,-2.50707823e-03,5.26320457e-01,3.61399748e-03,2.06111492e+00,3.00000012e-01,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.24842441e-01,4.01095208e-03,2.21146415e+00,4.00000006e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.11963473e-01,-2.46176147e-03,5.24585009e-01,3.71058821e-03,2.09916733e+00,4.00000006e-01,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.22758245e-01,4.23679082e-03,2.29049132e+00,5.00000000e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.17396787e-01,-3.10182269e-03,5.23399532e-01,3.94421211e-03,2.18725656e+00,5.00000000e-01,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.22185326e-01,4.42230655e-03,2.35231846e+00,6.00000024e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.23898998e-01,-3.86648835e-03,5.19919038e-01,4.11296356e-03,2.24769771e+00,6.00000024e-01,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.15906036e-01,4.79510380e-03,2.46908147e+00,6.99999988e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.30439401e-01,-3.19289067e-03,5.16801536e-01,4.37834114e-03,2.33790379e+00,6.99999988e-01,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.15899718e-01,4.97210072e-03,2.52137494e+00,8.00000012e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.37506515e-01,-4.64249915e-03,5.13776183e-01,4.46320884e-03,2.36560074e+00,8.00000012e-01,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.12919664e-01,5.50204189e-03,2.66748655e+00,8.99999976e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.46921009e-01,-7.35020125e-03,5.01769304e-01,4.80449572e-03,2.47190444e+00,8.99999976e-01,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.12314737e-01,6.49507949e-03,2.90686660e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.62510768e-01,-1.15767010e-02,4.94456857e-01,5.18891495e-03,2.58295231e+00,1.00000000e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.13678908e-01,7.49847433e-03,3.11411651e+00,1.10000002e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.82250187e-01,-1.22307697e-02,5.00242233e-01,5.34187583e-03,2.62486586e+00,1.10000002e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.08049548e-01,8.52756016e-03,3.29965245e+00,1.20000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.00337991e-01,-1.09293917e-02,4.87910986e-01,5.68596413e-03,2.71492442e+00,1.20000005e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.94543999e-01,9.35680326e-03,3.43353514e+00,1.29999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.20281795e-01,-1.14294160e-02,4.85885054e-01,6.01120573e-03,2.79517382e+00,1.29999995e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.89215910e-01,1.03243040e-02,3.57549204e+00,1.39999998e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.38943458e-01,-1.11275008e-02,4.74238873e-01,6.40175072e-03,2.88598592e+00,1.39999998e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.76923853e-01,1.11867636e-02,3.69124024e+00,1.50000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.58504093e-01,-1.11986529e-02,4.66475397e-01,6.78105652e-03,2.96902949e+00,1.50000000e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.66695249e-01,1.20857470e-02,3.80275416e+00,1.60000002e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.77335942e-01,-1.08476486e-02,4.54868495e-01,7.16661057e-03,3.04881038e+00,1.60000002e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.53619272e-01,1.29189296e-02,3.89893405e+00,1.70000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.95929223e-01,-1.04528666e-02,4.43417221e-01,7.53889326e-03,3.12187217e+00,1.70000005e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.40482199e-01,1.37212900e-02,3.98586364e+00,1.79999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.13578635e-01,-9.82276816e-03,4.30961758e-01,7.89360516e-03,3.18820378e+00,1.79999995e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.26196039e-01,1.44523028e-02,4.06074691e+00,1.89999998e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.30087155e-01,-8.99133831e-03,4.17614192e-01,8.22427124e-03,3.24740727e+00,1.89999998e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.11408573e-01,1.51154855e-02,4.12547484e+00,2.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.45160633e-01,-8.03614035e-03,4.04373407e-01,8.52426328e-03,3.29909457e+00,2.00000000e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.96521866e-01,1.56954117e-02,4.17979039e+00,2.09999990e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.58471423e-01,-6.90997392e-03,3.90477866e-01,8.79218616e-03,3.34374135e+00,2.09999990e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.81470531e-01,1.61703080e-02,4.22279468e+00,2.20000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.69925290e-01,-5.74120227e-03,3.77137929e-01,9.02351271e-03,3.38120858e+00,2.20000005e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.66927356e-01,1.65485088e-02,4.25614874e+00,2.29999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.79312307e-01,-4.49637091e-03,3.63745779e-01,9.21914075e-03,3.41215172e+00,2.29999995e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.52763802e-01,1.68169234e-02,4.27936131e+00,2.40000010e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.86660010e-01,-3.27545404e-03,3.51126701e-01,9.37750656e-03,3.43672379e+00,2.40000010e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.39490801e-01,1.69871822e-02,4.29389408e+00,2.50000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.91922474e-01,-2.07179552e-03,3.39006960e-01,9.51085333e-03,3.45709421e+00,2.50000000e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.27019006e-01,1.70572270e-02,4.29983064e+00,2.59999990e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.95205319e-01,-9.37219593e-04,3.27775568e-01,9.63364914e-03,3.47560180e+00,2.59999990e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.15614790e-01,1.70411188e-02,4.29846757e+00,2.70000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.96586329e-01,1.25498846e-04,3.17380428e-01,9.72083770e-03,3.48860007e+00,2.70000005e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.05238515e-01,1.69412438e-02,4.28998731e+00,2.79999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.96206766e-01,1.09709718e-03,3.07930112e-01,9.80012864e-03,3.50032011e+00,2.79999995e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,2.95961261e-01,1.67664606e-02,4.27502569e+00,2.90000010e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.94202054e-01,1.97914802e-03,2.99438983e-01,9.87149030e-03,3.51078733e+00,2.90000010e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,2.87743151e-01,1.65244546e-02,4.25405017e+00,3.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.90715927e-01,2.77237291e-03,2.91880339e-01,9.90709849e-03,3.51598202e+00,3.00000000e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,2.80549616e-01,1.62230674e-02,4.22749414e+00,3.09999990e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.85886878e-01,3.48311150e-03,2.85256296e-01,9.90856439e-03,3.51619547e+00,3.09999990e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,2.74321198e-01,1.58695225e-02,4.19570623e+00,3.20000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.79836529e-01,4.12176130e-03,2.79484540e-01,9.88611672e-03,3.51292336e+00,3.20000005e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,2.68971354e-01,1.54697318e-02,4.15889570e+00,3.29999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.72676492e-01,4.69724741e-03,2.74532825e-01,9.84502677e-03,3.50691455e+00,3.29999995e+00,1.00000001e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,2.64422745e-01,1.50292832e-02,4.11722372e+00,3.40000010e+00,0.00000000e+00,0.00000000e+00
