time,drag,lift,deltap
0,0,0,0
0.01,0,0,0
0.02,1.50496e-08,-2.42364e-11,1.70326e-08
0.03,1.99383e-06,-1.20024e-08,1.39303e-06
0.04,1.09272e-05,-1.00581e-07,6.85114e-06
0.05,2.84322e-05,-2.2967e-07,1.72482e-05
0.06,5.54088e-05,-3.22751e-07,3.30655e-05
0.07,9.3389e-05,-3.29598e-07,5.51155e-05
0.08,0.000142808,-4.56671e-07,8.35411e-05
0.09,0.000203788,-6.09866e-07,0.000118324
0.1,0.00027646,-7.28383e-07,0.000159528
0.11,0.000360701,-8.44247e-07,0.000206876
0.12,0.000456375,-1.03083e-06,0.000260421
0.13,0.000563926,-1.22763e-06,0.000320227
0.14,0.000683259,-1.47451e-06,0.000386245
0.15,0.000814146,-1.73264e-06,0.000458347
0.16,0.000957086,-1.94362e-06,0.000536574
0.17,0.00111217,-2.14645e-06,0.000621295
0.18,0.00127939,-2.40565e-06,0.000712097
0.19,0.00145897,-2.71043e-06,0.00080929
0.2,0.00165078,-2.96615e-06,0.000912796
0.21,0.00185528,-3.21385e-06,0.00102247
0.22,0.00207236,-3.54973e-06,0.00113888
0.23,0.00230213,-3.90951e-06,0.00126136
0.24,0.00254463,-4.24798e-06,0.00139031
0.25,0.00279979,-4.62055e-06,0.00152573
0.26,0.00306821,-4.97265e-06,0.0016673
0.27,0.00334937,-5.32323e-06,0.00181577
0.28,0.00364354,-5.72399e-06,0.00197013
0.29,0.00395087,-6.12896e-06,0.00213115
0.3,0.00427108,-6.49869e-06,0.00229867
0.31,0.00460494,-6.87388e-06,0.00247224
0.32,0.00495167,-7.34451e-06,0.00265289
0.33,0.00531165,-7.80686e-06,0.00283922
0.34,0.00568513,-8.22751e-06,0.00303237
0.35,0.00607164,-8.72312e-06,0.00323206
0.36,0.00647208,-9.18324e-06,0.0034376
0.37,0.00688542,-9.65962e-06,0.00365041
0.38,0.00731228,-1.01596e-05,0.00386868
0.39,0.00775286,-1.06343e-05,0.00409391
0.4,0.0082065,-1.11241e-05,0.00432566
0.41,0.00867433,-1.16015e-05,0.00456304
0.42,0.00915504,-1.21614e-05,0.00480791
0.43,0.00964945,-1.26994e-05,0.00505795
0.44,0.0101578,-1.31912e-05,0.00531511
0.45,0.0106791,-1.37923e-05,0.00557871
0.46,0.0112148,-1.43305e-05,0.00584771
0.47,0.0117633,-1.48934e-05,0.00612444
0.48,0.0123257,-1.54606e-05,0.00640604
