"geometry","physVelocity:0","physVelocity:1","physPressure","knudsen","Points:0","Points:1","Points:2"
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.47169125e-01,3.82500002e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.71087664e-01,2.65218434e-03,1.99999996e-02,0.00000000e+00,0.00000000e+00
3.00000000e+00,1.46249995e-01,0.00000000e+00,4.56700146e-01,2.75946576e-02,0.00000000e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,1.67533711e-01,-3.73187289e-02,4.92843717e-01,7.85857160e-03,1.99999996e-02,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.49976885e-01,1.89786218e-02,3.99999991e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.38745481e-01,-5.87936826e-02,5.06571352e-01,2.25911345e-02,3.99999991e-02,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.50220138e-01,9.12808161e-03,5.99999987e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.85271794e-01,-7.67803006e-03,4.94919270e-01,5.60566178e-03,5.99999987e-02,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.19375265e-01,2.84090880e-02,7.99999982e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.87437648e-01,-9.65818111e-03,4.83975381e-01,1.84059180e-02,7.99999982e-02,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.45937783e-01,8.78743362e-03,1.00000001e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.27221155e-01,-1.48673402e-02,4.66205090e-01,7.41661293e-03,1.00000001e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.84256214e-01,2.10257024e-02,1.19999997e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,4.10524726e-01,-6.45259991e-02,3.79973143e-01,2.27731708e-02,1.19999997e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.14042079e-01,3.17273885e-02,1.40000001e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,4.69740331e-01,-3.37650962e-02,4.20103520e-01,1.69412754e-02,1.40000001e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.65382582e-01,4.23246771e-02,1.59999996e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,5.11952102e-01,-6.41043186e-02,5.24861395e-01,1.44217694e-02,1.59999996e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.26606691e-01,3.92656475e-02,1.80000007e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,5.62065363e-01,1.44135831e-02,2.74902821e-01,1.01816617e-02,1.80000007e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.83517712e-01,4.23237309e-02,2.00000003e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,6.12154484e-01,-1.16009125e-02,1.82912484e-01,2.63653025e-02,2.00000003e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.94457793e-02,3.18762809e-02,2.19999999e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,6.80684030e-01,-5.23542389e-02,3.57503504e-01,2.09948551e-02,2.19999999e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.47679347e-01,5.24446443e-02,2.39999995e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.11914241e-01,-2.86313556e-02,2.16897562e-01,2.47065350e-02,2.39999995e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,2.05275729e-01,4.82561067e-02,2.59999990e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.54896224e-01,-4.91340586e-04,1.35590419e-01,2.84855664e-02,2.59999990e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,1.74062103e-02,3.69673856e-02,2.80000001e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.86950529e-01,1.77886263e-02,1.41825974e-01,2.56512705e-02,2.80000001e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,1.78706422e-01,4.89524454e-02,3.00000012e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.74636805e-01,-3.50656845e-02,1.14468768e-01,3.02911904e-02,3.00000012e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,8.38607922e-02,4.60801758e-02,3.19999993e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.86652386e-01,3.02151125e-02,6.70548379e-02,2.87205763e-02,3.19999993e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.79516701e-02,4.07625586e-02,3.40000004e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.86455929e-01,-1.41031167e-03,8.43094364e-02,3.05575766e-02,3.40000004e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.15301931e-02,3.95533293e-02,3.60000014e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.69129336e-01,1.78051814e-02,8.01625997e-02,3.15635838e-02,3.60000014e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.06955269e-02,3.85096520e-02,3.79999995e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.44170606e-01,9.66322888e-03,5.24328314e-02,3.05332951e-02,3.79999995e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,6.56330958e-02,3.64980586e-02,4.00000006e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.19478250e-01,2.64102817e-02,6.16022870e-02,3.17686126e-02,4.00000006e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,6.42430261e-02,3.23099717e-02,4.19999987e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,6.96351945e-01,1.12395575e-02,8.27804804e-02,3.13010439e-02,4.19999987e-01,1.99999996e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.66178146e-02,2.98930500e-02,4.39999998e-01,0.00000000e+00,0.00000000e+00
