time,drag,lift,deltap
0.199759,0.163225,0.000137599,0.0767278
0.201,0.16483,0.000107754,0.0778974
0.202241,0.167929,0.000145808,0.0797333
0.203481,0.169151,0.000137778,0.0794623
0.204722,0.172004,0.000136895,0.0820138
0.205963,0.174176,0.000171886,0.0821448
0.207204,0.175884,0.000141544,0.0834213
0.208444,0.179126,0.000182487,0.0853412
0.209685,0.180415,0.000173775,0.0851037
0.210926,0.183425,0.000174679,0.0877999
0.212167,0.18569,0.000211018,0.0879505
0.213407,0.18751,0.000180254,0.089345
0.214648,0.1909,0.000224131,0.0913523
0.215889,0.192261,0.000214617,0.0911574
0.21713,0.195432,0.000217456,0.0940042
0.21837,0.197792,0.000254983,0.0941787
0.219611,0.199734,0.000223841,0.0957028
0.220852,0.203281,0.000270635,0.0978044
0.222093,0.204731,0.000260156,0.0976687
0.223333,0.208086,0.000265042,0.100681
0.224574,0.210559,0.000303528,0.100894
0.225815,0.212648,0.000272025,0.102568
0.227056,0.216368,0.000321668,0.104774
0.228296,0.217923,0.000310009,0.104713
0.229537,0.221476,0.000317009,0.107902
0.230778,0.224074,0.000356169,0.108164
0.232019,0.226327,0.00032427,0.110003
0.233259,0.230235,0.000376622,0.112322
0.2345,0.231913,0.000363516,0.112353
0.235741,0.235686,0.000372638,0.115732
0.236981,0.238427,0.000412111,0.116057
0.238222,0.240868,0.000379736,0.11808
0.239463,0.244983,0.000434588,0.120524
0.240704,0.246806,0.00041971,0.120666
0.241944,0.250817,0.000430902,0.124245
0.243185,0.253711,0.000470261,0.124642
0.244426,0.256352,0.000437279,0.126861
0.245667,0.260677,0.000494338,0.12943
0.246907,0.262652,0.000477314,0.129692
0.248148,0.266909,0.00049045,0.133479
0.249389,0.269965,0.000529189,0.133955
0.25063,0.272823,0.000495418,0.136383
0.25187,0.27737,0.000554312,0.139085
0.253111,0.27951,0.000534713,0.139481
0.254352,0.284025,0.000549607,0.14348
0.255593,0.287249,0.00058716,0.144042
0.256833,0.290334,0.000552374,0.146689
0.258074,0.295105,0.000612661,0.149522
0.259315,0.297417,0.000590017,0.150061
0.260556,0.302194,0.000606422,0.154275
0.261796,0.305588,0.000642169,0.154927
0.263037,0.30891,0.000606098,0.1578
0.264278,0.313912,0.00066727,0.16077
0.265519,0.316411,0.000641083,0.161465
0.266759,0.321467,0.000658693,0.165902
0.268,0.325044,0.000691973,0.166654
