"geometry","physVelocity:0","physVelocity:1","physPressure","knudsen","Points:0","Points:1","Points:2"
1.00000000e+00,1.20087884e-01,-3.81688727e-03,-7.58679491e-03,2.10334803e-03,7.27272987e-01,9.09091011e-02,0.00000000e+00
1.00000000e+00,1.23750128e-01,-4.29443642e-03,-8.82380549e-03,2.17921752e-03,7.72727489e-01,9.09091011e-02,0.00000000e+00
1.00000000e+00,1.73955873e-01,-8.10321700e-03,-7.94152357e-03,1.96720148e-03,7.27272987e-01,1.36363596e-01,0.00000000e+00
1.00000000e+00,1.79057553e-01,-8.92306119e-03,-1.01496186e-02,2.04502069e-03,7.72727489e-01,1.36363596e-01,0.00000000e+00
1.00000000e+00,1.27725571e-01,-4.68951929e-03,-1.02866767e-02,2.25214870e-03,8.18181992e-01,9.09091011e-02,0.00000000e+00
1.00000000e+00,1.84535265e-01,-9.63750761e-03,-1.16094621e-02,2.10647169e-03,8.18181992e-01,1.36363596e-01,0.00000000e+00
1.00000000e+00,1.32038534e-01,-4.98820050e-03,-1.19656250e-02,2.32049637e-03,8.63636494e-01,9.09091011e-02,0.00000000e+00
1.00000000e+00,1.90320641e-01,-1.02249067e-02,-1.34876883e-02,2.16662535e-03,8.63636494e-01,1.36363596e-01,0.00000000e+00
1.00000000e+00,1.36616051e-01,-5.23228478e-03,-1.38900010e-02,2.38920096e-03,9.09090996e-01,9.09091011e-02,0.00000000e+00
1.00000000e+00,1.96410909e-01,-1.07398331e-02,-1.55757396e-02,2.22795294e-03,9.09090996e-01,1.36363596e-01,0.00000000e+00
1.00000000e+00,1.41387239e-01,-5.46031864e-03,-1.61160436e-02,2.46365787e-03,9.54545498e-01,9.09091011e-02,0.00000000e+00
1.00000000e+00,2.02842727e-01,-1.12352874e-02,-1.77417882e-02,2.28973757e-03,9.54545498e-01,1.36363596e-01,0.00000000e+00
1.00000000e+00,1.46370202e-01,-5.66814048e-03,-1.85533073e-02,2.54085404e-03,1.00000000e+00,9.09091011e-02,0.00000000e+00
1.00000000e+00,2.09543288e-01,-1.16757406e-02,-2.01107804e-02,2.35235947e-03,1.00000000e+00,1.36363596e-01,0.00000000e+00
1.00000000e+00,1.51565418e-01,-5.86239621e-03,-2.11091321e-02,2.61916453e-03,1.04545450e+00,9.09091011e-02,0.00000000e+00
1.00000000e+00,2.16514468e-01,-1.21089946e-02,-2.27548275e-02,2.41690502e-03,1.04545450e+00,1.36363596e-01,0.00000000e+00
1.00000000e+00,1.56954929e-01,-6.04921067e-03,-2.38464121e-02,2.69982405e-03,1.09090900e+00,9.09091011e-02,0.00000000e+00
1.00000000e+00,2.23749414e-01,-1.25212194e-02,-2.55779382e-02,2.48485198e-03,1.09090900e+00,1.36363596e-01,0.00000000e+00
1.00000000e+00,1.62525088e-01,-6.24354230e-03,-2.67932415e-02,2.78381607e-03,1.13636351e+00,9.09091011e-02,0.00000000e+00
1.00000000e+00,2.31251597e-01,-1.29306493e-02,-2.86092572e-02,2.55347765e-03,1.13636351e+00,1.36363596e-01,0.00000000e+00
1.00000000e+00,1.68263480e-01,-6.42553903e-03,-2.99613699e-02,2.87026819e-03,1.18181801e+00,9.09091011e-02,0.00000000e+00
1.00000000e+00,2.38982573e-01,-1.32954968e-02,-3.18495817e-02,2.62435083e-03,1.18181801e+00,1.36363596e-01,0.00000000e+00
1.00000000e+00,1.74158841e-01,-6.57742424e-03,-3.33778523e-02,2.95878178e-03,1.22727251e+00,9.09091011e-02,0.00000000e+00
1.00000000e+00,2.46938974e-01,-1.36333387e-02,-3.53235677e-02,2.69594789e-03,1.22727251e+00,1.36363596e-01,0.00000000e+00
1.00000000e+00,1.80194199e-01,-6.70792675e-03,-3.70248742e-02,3.04892100e-03,1.27272701e+00,9.09091011e-02,0.00000000e+00
1.00000000e+00,2.55091578e-01,-1.39220944e-02,-3.90039049e-02,2.77008791e-03,1.27272701e+00,1.36363596e-01,0.00000000e+00
