time,drag,lift,deltap
0.56,0.0801065,-8.48948e-06,0.0381073
0.565,0.0815647,-7.20395e-06,0.038775
0.57,0.083035,-5.83445e-06,0.0394481
0.575,0.084517,-4.37778e-06,0.0401263
0.58,0.0860099,-2.83073e-06,0.0408094
0.585,0.087515,-1.18999e-06,0.0414981
0.59,0.0890332,5.47656e-07,0.0421929
0.595,0.0905637,2.38636e-06,0.0428934
0.6,0.0921073,4.32993e-06,0.0436003
0.605,0.0936644,6.38214e-06,0.0443136
0.61,0.095236,8.54758e-06,0.045034
0.615,0.0968217,1.08308e-05,0.0457614
0.62,0.0984201,1.3236e-05,0.0464949
0.625,0.100032,1.57674e-05,0.0472348
0.63,0.101657,1.84297e-05,0.0479814
0.635,0.103294,2.12274e-05,0.0487342
0.64,0.104944,2.41646e-05,0.049493
0.645,0.106606,2.72458e-05,0.0502578
0.65,0.108281,3.04756e-05,0.0510295
0.655,0.10997,3.38594e-05,0.0518084
0.66,0.111673,3.74019e-05,0.0525943
0.665,0.113389,4.11081e-05,0.0533878
0.67,0.115121,4.49835e-05,0.0541893
0.675,0.116868,4.90334e-05,0.0549993
0.68,0.11863,5.32637e-05,0.0558174
0.685,0.120407,5.76798e-05,0.0566433
0.69,0.122198,6.22868e-05,0.0574775
0.695,0.124004,6.70906e-05,0.0583198
0.7,0.125824,7.20964e-05,0.0591701
0.705,0.127658,7.73097e-05,0.0600284
0.71,0.129507,8.27355e-05,0.0608948
0.715,0.131371,8.83793e-05,0.0617704
0.72,0.13325,9.42471e-05,0.0626553
0.725,0.135146,0.000100344,0.0635496
0.73,0.137058,0.000106677,0.064454
0.735,0.138988,0.00011325,0.065369
0.74,0.140936,0.00012007,0.0662949
0.745,0.142901,0.000127143,0.0672316
0.75,0.144883,0.000134474,0.0681788
0.755,0.146884,0.000142068,0.0691372
0.76,0.148901,0.00014993,0.0701068
0.765,0.150937,0.000158066,0.0710875
0.77,0.152989,0.000166481,0.0720793
0.775,0.15506,0.000175179,0.0730829
0.78,0.157149,0.000184164,0.0740993
0.785,0.159259,0.000193441,0.0751285
0.79,0.161388,0.000203015,0.076171
0.795,0.163538,0.00021289,0.0772275
0.8,0.16571,0.000223069,0.0782985
0.805,0.167905,0.000233558,0.0793846
0.81,0.170121,0.000244358,0.0804854
0.815,0.172358,0.000255474,0.0816012
0.82,0.174619,0.000266907,0.0827326
0.825,0.176901,0.00027866,0.0838796
0.83,0.179207,0.000290734,0.0850424
0.835,0.181534,0.000303132,0.0862213
0.84,0.183886,0.000315852,0.0874171
0.845,0.186262,0.000328897,0.0886307
0.85,0.188664,0.000342265,0.0898622
0.855,0.191091,0.000355957,0.0911124
0.86,0.193546,0.000369971,0.0923821
0.865,0.196028,0.000384306,0.0936718
0.87,0.198539,0.00039896,0.094982
0.875,0.201077,0.00041393,0.0963125
0.88,0.203644,0.000429213,0.0976638
0.885,0.20624,0.000444804,0.0990366
0.89,0.208865,0.000460698,0.100431
0.895,0.211519,0.00047689,0.101847
0.9,0.214203,0.000493372,0.103285
0.905,0.216919,0.000510137,0.104747
0.91,0.219666,0.000527178,0.106232
0.915,0.222445,0.000544485,0.107742
0.92,0.225258,0.000562049,0.109277
0.925,0.228106,0.000579859,0.110838
0.93,0.230989,0.000597905,0.112425
0.935,0.233907,0.000616175,0.114038
0.94,0.236861,0.000634655,0.115679
0.945,0.239851,0.000653333,0.117347
0.95,0.242878,0.000672193,0.119042
0.955,0.245941,0.00069122,0.120765
0.96,0.249042,0.000710398,0.122517
0.965,0.25218,0.000729708,0.124297
0.97,0.255357,0.000749133,0.126106
0.975,0.258573,0.000768654,0.127946
0.98,0.26183,0.000788252,0.129816
0.985,0.265128,0.000807906,0.131718
0.99,0.268468,0.000827596,0.133651
0.995,0.271851,0.0008473,0.135616
1,0.275276,0.000866996,0.137614
1.005,0.278745,0.00088666,0.139644
1.01,0.282256,0.00090627,0.141706
1.015,0.285811,0.0009258,0.143802
1.02,0.28941,0.000945225,0.14593
1.025,0.293052,0.00096452,0.148092
